title,url,date,Threat Actor
"meijer.com - EmployeeDirectory - DataRows 7,422",https://breachforums.st/Thread-DATABASE-meijer-com-EmployeeDirectory-DataRows-7-422,"12-02-2024, 06:34 AM", Nam3L3ss
"morganstanley.com - EmployeeDirectory - DataRows 32,860",https://breachforums.st/Thread-DATABASE-morganstanley-com-EmployeeDirectory-DataRows-32-860,"12-02-2024, 06:36 AM", Nam3L3ss
"nokia.com - EmployeeDirectory - DataRows 94,252",https://breachforums.st/Thread-DATABASE-nokia-com-EmployeeDirectory-DataRows-94-252,"12-02-2024, 06:38 AM", Nam3L3ss
"saic.com - EmployeeDirectory - DataRows 26,917",https://breachforums.st/Thread-DATABASE-saic-com-EmployeeDirectory-DataRows-26-917,"12-02-2024, 06:44 AM", Nam3L3ss
"univision.net - EmployeeDirectory - DataRows 5,954",https://breachforums.st/Thread-DATABASE-univision-net-EmployeeDirectory-DataRows-5-954,"12-02-2024, 06:45 AM", Nam3L3ss
"xerox.com - EmployeeDirectory - DataRows 42,735",https://breachforums.st/Thread-DATABASE-xerox-com-EmployeeDirectory-DataRows-42-735,"12-02-2024, 06:48 AM", Nam3L3ss
"joneslanglasalle.com aka jll.com - Part 1 - DataRows 12,352,524",https://breachforums.st/Thread-COLLECTION-joneslanglasalle-com-aka-jll-com-Part-1-DataRows-12-352-524,"12-02-2024, 07:52 AM", Nam3L3ss
altissia.org customers,https://breachforums.st/Thread-DATABASE-altissia-org-customers,"12-02-2024, 01:46 PM", JOSHUAGENT
USA - Company Database Leak - LenselS2,https://breachforums.st/Thread-DATABASE-USA-Company-Database-Leak-LenselS2,"12-02-2024, 03:21 PM", IIlIlIlIIllIIllII
USA Company Leak - Henderson Stamping & Production,https://breachforums.st/Thread-DATABASE-USA-Company-Leak-Henderson-Stamping-Production,"12-02-2024, 03:24 PM", IIlIlIlIIllIIllII
USA Company Leak: Ivanhoe Club,https://breachforums.st/Thread-DATABASE-USA-Company-Leak-Ivanhoe-Club,"12-02-2024, 03:25 PM", IIlIlIlIIllIIllII
bonpoint.com customers,https://breachforums.st/Thread-DATABASE-bonpoint-com-customers,"12-02-2024, 03:39 PM", JOSHUAGENT
beseem.in India,https://breachforums.st/Thread-DATABASE-beseem-in-India,"12-02-2024, 05:45 PM", r57
"Chaat.fr Database - Leaked, Download!",https://breachforums.st/Thread-DATABASE-Chaat-fr-Database-Leaked-Download,"12-02-2024, 06:14 PM", recursive42
[EXCLUSIVE LEAK] Peruvian Army Military School Database,https://breachforums.st/Thread-EXCLUSIVE-LEAK-Peruvian-Army-Military-School-Database,12-03-2024, JosmellTernita
SEAT S.A. Customer Data Breach seat.com,https://breachforums.st/Thread-DATABASE-SEAT-S-A-Customer-Data-Breach-seat-com,12-03-2024, Counter
albazaar.shop shopping site leak | Download,https://breachforums.st/Thread-DATABASE-albazaar-shop-shopping-site-leak-Download,12-03-2024, el_farado
Council for Scientific and Industrial Research leak | Download,https://breachforums.st/Thread-DATABASE-Council-for-Scientific-and-Industrial-Research-leak-Download,12-03-2024, el_farado
Immobilière Essaouira real estate agency leak | Download,https://breachforums.st/Thread-DATABASE-Immobili%C3%A8re-Essaouira-real-estate-agency-leak-Download,12-03-2024, el_farado
"Crowdera Database - Leaked, Download!",https://breachforums.st/Thread-DATABASE-Crowdera-Database-Leaked-Download,12-03-2024,888
"GoTravel Israel Database - Leaked, Download!",https://breachforums.st/Thread-DATABASE-GoTravel-Israel-Database-Leaked-Download,12-03-2024, Rey
"Pardes Institute Israel Database - Leaked, Download!",https://breachforums.st/Thread-DATABASE-Pardes-Institute-Israel-Database-Leaked-Download,12-03-2024, Rey
"Databases of onetap, raidforums, teesense, and more!",https://breachforums.st/Thread-DATABASE-Databases-of-onetap-raidforums-teesense-and-more,12-03-2024, caityballison
lazarusgroup.com full database,https://breachforums.st/Thread-DATABASE-lazarusgroup-com-full-database,12-04-2024, Hxp7
"altru.org Patients DataRows 70,279 Emails 27,677",https://breachforums.st/Thread-DATABASE-altru-org-Patients-DataRows-70-279-Emails-27-677--151332,12-04-2024, Nam3L3ss
"centracare.com Patients DataRows 782,281 Emails 129,404",https://breachforums.st/Thread-DATABASE-centracare-com-Patients-DataRows-782-281-Emails-129-404,12-04-2024, Nam3L3ss
"claxtonhepburn.org Patients DataRows 7,133",https://breachforums.st/Thread-DATABASE-claxtonhepburn-org-Patients-DataRows-7-133,12-04-2024, Nam3L3ss
"commonspirit.org Patients DataRows 14,921,712 Emails 1,162,188",https://breachforums.st/Thread-DATABASE-commonspirit-org-Patients-DataRows-14-921-712-Emails-1-162-188,12-04-2024, Nam3L3ss
"franciscanhealth.org Patients DataRows 107,316 Emails 84,542",https://breachforums.st/Thread-DATABASE-franciscanhealth-org-Patients-DataRows-107-316-Emails-84-542,12-04-2024, Nam3L3ss
geonetric.com Patients DataRows 307 Emails 304,https://breachforums.st/Thread-DATABASE-geonetric-com-Patients-DataRows-307-Emails-304,12-04-2024, Nam3L3ss
"gshealth.org Patients DataRows 53,015 Emails 8,006",https://breachforums.st/Thread-DATABASE-gshealth-org-Patients-DataRows-53-015-Emails-8-006,12-04-2024, Nam3L3ss
"healthcare.ascension.org Patients DataRows 680,504 SSN 206,385",https://breachforums.st/Thread-DATABASE-healthcare-ascension-org-Patients-DataRows-680-504-SSN-206-385,12-04-2024, Nam3L3ss
"madisonmemorial.org Patients DataRows 23,938 Emails 6,930",https://breachforums.st/Thread-DATABASE-madisonmemorial-org-Patients-DataRows-23-938-Emails-6-930,12-04-2024, Nam3L3ss
"massgeneralbrighamhealthplan.org Patients DataRows 4,054,031 Emails 176,346",https://breachforums.st/Thread-DATABASE-massgeneralbrighamhealthplan-org-Patients-DataRows-4-054-031-Emails-176-346,12-04-2024, Nam3L3ss
"myhorizonhealth.org Patients DataRows 57,426 Emails 9,067 SSN 13,444",https://breachforums.st/Thread-DATABASE-myhorizonhealth-org-Patients-DataRows-57-426-Emails-9-067-SSN-13-444,12-04-2024, Nam3L3ss
"osfhealthcare.org Patients DataRows 520,185 Emails 180,721 SSN 223,112",https://breachforums.st/Thread-DATABASE-osfhealthcare-org-Patients-DataRows-520-185-Emails-180-721-SSN-223-112,12-04-2024, Nam3L3ss
"sutterhealth.org Patients DataRows 1,463,309 Emails 645,629",https://breachforums.st/Thread-DATABASE-sutterhealth-org-Patients-DataRows-1-463-309-Emails-645-629,12-04-2024, Nam3L3ss
"thedacare.org Patients DataRows 503,723 Emails 58,477 SSN 66,176",https://breachforums.st/Thread-DATABASE-thedacare-org-Patients-DataRows-503-723-Emails-58-477-SSN-66-176,12-04-2024, Nam3L3ss
"theproviderexperience.org Patients DataRows 74,993 Emails 26,462",https://breachforums.st/Thread-DATABASE-theproviderexperience-org-Patients-DataRows-74-993-Emails-26-462,12-04-2024, Nam3L3ss
"trane.com EmployeeHealthPlan DataRows 500,137 Emails 46,104 SSN 31,279",https://breachforums.st/Thread-DATABASE-trane-com-EmployeeHealthPlan-DataRows-500-137-Emails-46-104-SSN-31-279,12-04-2024, Nam3L3ss
"wvumedicine.org Patients DataRows 2,889,129 Emails 209,011 SSN 444,292",https://breachforums.st/Thread-DATABASE-wvumedicine-org-Patients-DataRows-2-889-129-Emails-209-011-SSN-444-292,12-04-2024, Nam3L3ss
OneClickMoney (Russian Money Lender) 9.8 Million,https://breachforums.st/Thread-DATABASE-OneClickMoney-Russian-Money-Lender-9-8-Million,"12-04-2024, 04:53 PM", anonmoose
